1AA.01 1583.14,1277.9;1584.53,1271.96;1581.14,1271.16;1579.75,1277.1
1AA.03 1584.9,1270.44;1586.28,1264.5;1582.88,1263.71;1581.5,1269.65
1AA.05 1586.36,1264.15;1587.74,1258.21;1584.34,1257.42;1582.96,1263.36
1AA.07 1587.74,1258.17;1589.12,1252.23;1585.72,1251.44;1584.34,1257.38
1AA.09 1589.2,1251.88;1590.57,1245.94;1587.17,1245.15;1585.79,1251.09
1AA.11 1590.57,1245.9;1591.95,1239.96;1588.55,1239.17;1587.17,1245.11
1AA.13 1592.02,1239.61;1593.4,1233.67;1589.99,1232.88;1588.62,1238.82
1AA.15 1593.47,1233.32;1594.85,1227.37;1591.44,1226.59;1590.06,1232.53
1AA.17 1594.92,1227.02;1596.3,1221.08;1592.89,1220.29;1591.52,1226.24
1AA.19 1596.37,1220.73;1597.75,1214.79;1594.35,1214.0;1592.97,1219.94
1AA.21 1597.84,1214.44;1599.22,1208.5;1595.81,1207.71;1594.44,1213.65
1AA.23 1599.31,1208.15;1600.69,1202.21;1597.28,1201.42;1595.91,1207.36
1AA.25 1600.77,1201.86;1602.15,1195.92;1598.75,1195.13;1597.37,1201.08
1AA.27 1602.24,1195.57;1603.61,1189.63;1600.21,1188.84;1598.83,1194.79
1AA.29 1603.7,1189.28;1605.08,1183.34;1601.67,1182.55;1600.3,1188.5
1AA.31 1605.16,1182.99;1606.54,1177.05;1603.13,1176.26;1601.75,1182.2
1AA.33 1606.62,1176.7;1607.99,1170.76;1604.59,1169.97;1603.21,1175.91
1AA.35 1608.06,1170.41;1609.44,1164.47;1606.04,1163.68;1604.66,1169.62
1AA.37 1609.51,1164.12;1610.89,1158.17;1607.49,1157.38;1606.11,1163.33
1AA.39 1610.98,1157.83;1612.36,1151.88;1608.95,1151.09;1607.57,1157.04
1AA.41 1612.44,1151.54;1613.82,1145.59;1610.42,1144.8;1609.04,1150.75
1AA.43 1613.9,1145.24;1615.28,1139.3;1611.88,1138.51;1610.5,1144.46
1AA.45 1615.35,1138.95;1616.73,1133.01;1613.33,1132.22;1611.95,1138.16
1AA.47 1616.81,1132.66;1618.19,1126.72;1614.79,1125.93;1613.41,1131.87
1AA.49 1618.27,1126.37;1619.65,1120.43;1616.25,1119.64;1614.87,1125.58
1AA.51 1619.74,1120.08;1621.11,1114.14;1617.71,1113.35;1616.33,1119.29
1AA.53 1621.2,1113.79;1622.57,1107.85;1619.17,1107.06;1617.79,1113.0
1AA.55 1622.65,1107.5;1624.03,1101.56;1620.63,1100.77;1619.25,1106.71
1AA.57 1624.11,1101.21;1625.49,1095.26;1622.09,1094.48;1620.71,1100.42
1AA.59 1625.57,1094.92;1626.95,1088.97;1623.54,1088.18;1622.17,1094.13
1AA.61 1627.03,1088.62;1628.4,1082.68;1625.0,1081.89;1623.62,1087.83
1AA.63 1628.41,1082.65;1629.79,1076.71;1626.38,1075.92;1625.01,1081.86
1AA.65 1629.87,1076.36;1631.24,1070.41;1627.84,1069.62;1626.46,1075.57
1AA.67 1631.25,1070.38;1632.63,1064.44;1629.23,1063.65;1627.85,1069.59
1AA.69 1632.71,1064.09;1634.09,1058.15;1630.68,1057.36;1629.31,1063.3
1AA.71 1634.1,1058.11;1635.47,1052.17;1632.07,1051.38;1630.69,1057.32
1BA.01 1506.04,1610.57;1507.42,1604.63;1504.01,1603.84;1502.64,1609.78
1BA.03 1507.77,1603.11;1509.15,1597.17;1505.75,1596.38;1504.37,1602.32
1BA.05 1509.23,1596.82;1510.61,1590.88;1507.21,1590.09;1505.83,1596.03
1BA.07 1510.61,1590.84;1511.99,1584.9;1508.59,1584.11;1507.21,1590.05
1BA.09 1512.07,1584.55;1513.45,1578.61;1510.05,1577.82;1508.67,1583.76
1BA.11 1513.46,1578.58;1514.84,1572.63;1511.44,1571.85;1510.06,1577.79
1BA.13 1514.92,1572.29;1516.3,1566.34;1512.9,1565.55;1511.52,1571.5
1BA.15 1516.38,1566.0;1517.76,1560.05;1514.36,1559.26;1512.98,1565.21
1BA.17 1517.84,1559.7;1519.22,1553.76;1515.82,1552.97;1514.44,1558.92
1BA.19 1519.3,1553.41;1520.68,1547.47;1517.28,1546.68;1515.9,1552.62
1BA.21 1520.76,1547.12;1522.14,1541.18;1518.74,1540.39;1517.36,1546.33
1BA.23 1522.22,1540.83;1523.6,1534.89;1520.2,1534.1;1518.82,1540.04
1BA.25 1523.68,1534.54;1525.06,1528.6;1521.66,1527.81;1520.28,1533.75
1BA.27 1525.14,1528.25;1526.52,1522.31;1523.12,1521.52;1521.74,1527.46
1BA.29 1526.6,1521.96;1527.98,1516.02;1524.58,1515.23;1523.2,1521.17
1BA.31 1528.07,1515.67;1529.44,1509.73;1526.04,1508.94;1524.66,1514.88
1BA.33 1529.53,1509.38;1530.9,1503.44;1527.5,1502.65;1526.12,1508.59
1BA.35 1530.99,1503.09;1532.36,1497.15;1528.96,1496.36;1527.59,1502.3
1BA.37 1532.45,1496.8;1533.83,1490.86;1530.42,1490.07;1529.05,1496.01
1BA.39 1533.91,1490.51;1535.29,1484.56;1531.88,1483.78;1530.51,1489.72
1BA.41 1535.37,1484.22;1536.75,1478.27;1533.35,1477.48;1531.97,1483.43
1BA.43 1536.83,1477.93;1538.21,1471.98;1534.81,1471.19;1533.43,1477.14
1BA.45 1538.29,1471.63;1539.67,1465.69;1536.27,1464.9;1534.89,1470.85
1BA.47 1539.75,1465.34;1541.13,1459.4;1537.73,1458.61;1536.35,1464.55
1BA.49 1541.21,1459.05;1542.59,1453.11;1539.19,1452.32;1537.81,1458.26
1BA.51 1542.67,1452.76;1544.05,1446.82;1540.65,1446.03;1539.27,1451.97
1BA.53 1544.13,1446.47;1545.51,1440.53;1542.11,1439.74;1540.73,1445.68
1BA.55 1545.59,1440.18;1546.97,1434.24;1543.57,1433.45;1542.19,1439.39
1BA.57 1547.05,1433.89;1548.43,1427.95;1545.03,1427.16;1543.65,1433.1
1BA.59 1548.51,1427.6;1549.89,1421.66;1546.49,1420.87;1545.11,1426.81
1BA.61 1549.97,1421.31;1551.35,1415.37;1547.95,1414.58;1546.57,1420.52
1BA.63 1551.43,1415.02;1552.81,1409.08;1549.41,1408.29;1548.03,1414.23
1BA.65 1552.89,1408.73;1554.27,1402.79;1550.87,1402.0;1549.49,1407.94
1BA.67 1554.35,1402.44;1555.73,1396.49;1552.33,1395.71;1550.95,1401.65
1BA.69 1555.81,1396.15;1557.19,1390.2;1553.79,1389.41;1552.41,1395.36
1BA.71 1557.27,1389.86;1558.65,1383.91;1555.25,1383.12;1553.87,1389.07
1BA.73 1558.73,1383.56;1560.11,1377.62;1556.71,1376.83;1555.33,1382.78
1BA.75 1560.12,1377.59;1561.5,1371.65;1558.1,1370.86;1556.72,1376.8
1BA.77 1561.58,1371.3;1562.96,1365.36;1559.56,1364.57;1558.18,1370.51
1BA.79 1562.97,1365.32;1564.35,1359.38;1560.94,1358.59;1559.57,1364.53
1CA.01 1428.9,1943.04;1430.28,1937.09;1426.98,1936.33;1425.61,1942.27
1CA.03 1430.65,1935.58;1432.03,1929.64;1428.68,1928.86;1427.3,1934.8
1CA.05 1432.11,1929.29;1433.49,1923.35;1430.14,1922.57;1428.76,1928.51
1CA.07 1433.5,1923.32;1434.88,1917.38;1431.52,1916.6;1430.14,1922.54
1CA.09 1434.96,1917.03;1436.34,1911.08;1432.98,1910.3;1431.6,1916.25
1CA.11 1436.35,1911.05;1437.73,1905.11;1434.37,1904.33;1432.99,1910.27
1CA.13 1437.81,1904.76;1439.19,1898.82;1435.83,1898.04;1434.45,1903.98
1CA.15 1439.27,1898.47;1440.65,1892.53;1437.29,1891.75;1435.91,1897.69
1CA.17 1440.73,1892.18;1442.11,1886.24;1438.75,1885.46;1437.37,1891.4
1CA.19 1442.19,1885.89;1443.57,1879.95;1440.21,1879.17;1438.83,1885.11
1CA.21 1443.65,1879.6;1445.03,1873.66;1441.67,1872.88;1440.29,1878.82
1CA.23 1445.11,1873.31;1446.49,1867.36;1443.13,1866.58;1441.75,1872.53
1CA.25 1446.57,1867.02;1447.95,1861.07;1444.59,1860.29;1443.21,1866.24
1CA.27 1448.03,1860.72;1449.41,1854.78;1446.05,1854.0;1444.67,1859.94
1CA.29 1449.49,1854.43;1450.87,1848.49;1447.51,1847.71;1446.13,1853.65
1CA.31 1450.95,1848.14;1452.33,1842.2;1448.97,1841.42;1447.59,1847.36
1CA.33 1452.41,1841.85;1453.79,1835.91;1450.43,1835.13;1449.05,1841.07
1CA.35 1453.87,1835.56;1455.25,1829.62;1451.89,1828.84;1450.51,1834.78
1CA.37 1455.33,1829.27;1456.71,1823.33;1453.35,1822.55;1451.97,1828.49
1CA.39 1456.79,1822.98;1458.17,1817.04;1454.81,1816.26;1453.43,1822.2
1CA.41 1458.25,1816.69;1459.63,1810.75;1456.27,1809.97;1454.89,1815.91
1CA.43 1459.71,1810.4;1461.09,1804.46;1457.73,1803.68;1456.35,1809.62
1CA.45 1461.17,1804.11;1462.55,1798.17;1459.19,1797.39;1457.81,1803.33
1CA.47 1462.63,1797.82;1464.01,1791.88;1460.65,1791.1;1459.27,1797.04
1CA.49 1464.09,1791.53;1465.47,1785.58;1462.11,1784.8;1460.73,1790.75
1CA.51 1465.55,1785.24;1466.93,1779.29;1463.57,1778.51;1462.19,1784.46
1CA.53 1467.01,1778.94;1468.39,1773.0;1465.03,1772.22;1463.65,1778.16
1CA.55 1468.47,1772.65;1469.85,1766.71;1466.49,1765.93;1465.11,1771.87
1CA.57 1469.93,1766.36;1471.31,1760.42;1467.95,1759.64;1466.57,1765.58
1CA.59 1471.39,1760.07;1472.77,1754.13;1469.41,1753.35;1468.03,1759.29
1CA.61 1472.85,1753.78;1474.23,1747.84;1470.87,1747.06;1469.49,1753.0
1CA.63 1474.31,1747.49;1475.69,1741.55;1472.33,1740.77;1470.95,1746.71
1CA.65 1475.77,1741.2;1477.15,1735.26;1473.79,1734.48;1472.41,1740.42
1CA.67 1477.23,1734.91;1478.61,1728.97;1475.25,1728.19;1473.87,1734.13
1CA.69 1478.69,1728.62;1480.07,1722.68;1476.71,1721.9;1475.33,1727.84
1CA.71 1480.15,1722.33;1481.53,1716.39;1478.17,1715.61;1476.79,1721.55
1CA.73 1481.61,1716.04;1482.99,1710.09;1479.63,1709.31;1478.25,1715.26
1CA.75 1482.99,1710.06;1484.37,1704.12;1481.02,1703.34;1479.64,1709.28
1CA.77 1484.45,1703.77;1485.83,1697.83;1482.48,1697.05;1481.1,1702.99
2AA.01 1489.72,1256.38;1491.1,1250.44;1487.71,1249.65;1486.34,1255.59
2AA.03 1491.46,1248.92;1492.84,1242.98;1489.45,1242.19;1488.07,1248.13
2AA.05 1492.92,1242.63;1494.3,1236.69;1490.91,1235.9;1489.53,1241.84
2AA.07 1494.31,1236.65;1495.69,1230.71;1492.3,1229.93;1490.92,1235.87
2AA.09 1495.77,1230.36;1497.15,1224.42;1493.76,1223.63;1492.38,1229.58
2AA.11 1497.16,1224.39;1498.54,1218.45;1495.15,1217.66;1493.77,1223.6
2AA.13 1498.62,1218.1;1500.0,1212.15;1496.61,1211.37;1495.23,1217.31
2AA.15 1500.08,1211.81;1501.46,1205.86;1498.07,1205.08;1496.69,1211.02
2AA.17 1501.54,1205.51;1502.92,1199.57;1499.53,1198.79;1498.15,1204.73
2AA.19 1503.0,1199.22;1504.38,1193.28;1500.99,1192.5;1499.61,1198.44
2AA.21 1504.46,1192.93;1505.84,1186.99;1502.45,1186.2;1501.07,1192.15
2AA.23 1505.92,1186.64;1507.3,1180.7;1503.91,1179.91;1502.53,1185.86
2AA.25 1507.38,1180.35;1508.75,1174.41;1505.37,1173.62;1503.99,1179.56
2AA.27 1508.84,1174.06;1510.21,1168.12;1506.83,1167.33;1505.45,1173.27
2AA.29 1510.3,1167.77;1511.67,1161.83;1508.29,1161.04;1506.91,1166.98
2AA.31 1511.75,1161.48;1513.13,1155.54;1509.75,1154.75;1508.37,1160.69
2AA.33 1513.21,1155.19;1514.59,1149.25;1511.2,1148.46;1509.83,1154.4
2AA.35 1514.67,1148.9;1516.05,1142.95;1512.66,1142.17;1511.29,1148.11
